"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"11223","SAM",NA,"NYT",2,27,1974,2,27,1974,1,7402048,1,"DECISION REVERSED IN SEX BIAS SUIT",0,"TWO WOMEN","LAWSUIT","PHILADELPHIA","RCA","SEXUAL DISCRIMINATION","COLLECTIVE, CLAIMS MADE, PUBLIC",43,"1",2,1,"NY","","","",1,"CAMDEN","",NA,"",1,2,NA,1,500,100,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",610,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"2811","JEFF LARSON",2000-11-13,"NYT",12,19,1963,12,NA,1963,1,6312046,1,"GADSDEN SCHOOLS TOLD TO DESEGREGATE IN FALL",0,"UNKNOWN","501 LAWSUITS FILED","HUNTSVILLE, AL","PUBLIC SCHOOLS IN HUNTSVILLE, AL AND MADISON COUNTY","DESEGREGATION","COLLECTIVE, CLAIMS MADE, PUBLIC",27,"1",5,1,"AL","","","",1,"HUNTSVILLE","",0,"",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,2,1,3,NA,NA,0,NA,"","","","",1501,1,1342,3,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"16053","KRISTY",2001-10-09,"NYT",7,26,1981,NA,NA,NA,1,8107070,1,"A U.S JUDGE DISMISSES ONEIDAS LAND CLAIM",1,"ONEIDA INDIANS","LAWSUIT","SYRACUSE, NY","GOVT","HISTORICAL LAND GRIEVANCE","COLLECTIVE, CLAIMS MADE, PUBLIC",30,"A",5,1,"NY","","","",1,"SYRACUSE","",NA,"",0,NA,4,1,435,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"ONEIDA INDIANS","","","",1713,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2102
"20731","H. MACIAS",2002-01-07,"NYT",3,24,1990,3,23,1990,2,9003038,1,"400 PROTESTERS IN MANHATTAN ATTACK RACISM",0,"500 STUDENTS FROM PUBLIC SCHOOLS","THEY WALKED OUT OF CLASSES","NEW YORK CITY","THE CITYS PUBLICH SCHOOLS","TO DRAW ATTENTION TO THEIR BAD CONDITIONS","COLLECTIVE, CLAIMS MADE, PUBLIC",29,"1",9,1,"NY","","","",1,"NEW YORK","",NA,"",1,500,NA,2,800,400,1800,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,14,1,NA,NA,65,57,NA,NA,0,NA,0,1,1,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"13596","LEAH MILLER",2002-04-09,"NYT",5,2,1978,5,1,1978,1,7805007,1,"BISHOPS' UNIT REJECTS RIGHTS LAW BACKING",0,"GROUP OF FEMINISTS","PICKETED A MEETING PLACE OF CHURCH BISHOPS","CHICAGO---PALMER HOUSE","CATHOLIC CHURCH BISHOPS","URGING THE BISHOPS TO FAVOR THE EQUAL RIGHTS AMENDMENT","COLLECTIVE, CLAIMS MADE, PUBLIC",18,"A",10,1,"IL","","","",1,"CHICAGO","",NA,"",0,NA,2,1,500,1800,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",608,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"12642","LEANNA MELLOTT",2000-10-17,"NYT",1,30,1977,1,NA,1977,1,7701084,1,"ABORTION ISSUE FLARES ANEW",0,"PRO-ABORTION ACTIVISTS","FILED SUIT","TRENTON, NJ","RIGHT-TO-LIFE GROUP","PROTESTING GROUPS TAX-EXEMPT STATUS","COLLECTIVE, CLAIMS MADE, PUBLIC",4,"1",34,1,"NJ","","","",1,"TRENTON","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"RIGHT TO CHOOSE","","","",2400,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"5455","MARVIN RUTH",NA,"NYT",11,6,1966,11,5,1966,1,6611019,1,"BLAST NEAR NEGROES HOME INJURES 3 CHICAGO WHITES",0,"ANTI-BLACK GROUP","SET OFF DYNAMITE BOMB","CHICAGO, IL","BLACK RESIDENTS IN HOME","PROTEST THEIR PRESCENCE IN WHITE NEIGHBORHOOD","COLLECTIVE, CLAIMS MADE, PUBLIC",62,"1",5,1,"IL","","","",1,"CHICAGO","",NA,"",0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,55,62,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,1,NA,1,0,"",NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"17340","WENDY",2002-03-01,"NYT",12,4,1983,NA,NA,1975,1,8312006,1,"MENTAL PATIENTS WIN DRUGS RULING",1,"MENTAL PATIENT","FILED A LAWSUIT","BOSTON, MASSACHUSETTS","STATE OF NEW YORK AND PHYSICIANS","IMPROVE RIGHTS OF HANDICAPPED PATIENTS","COLLECTIVE, CLAIMS MADE, PUBLIC",45,"1",25,1,"MA","","","",1,"BOSTON","",NA,"",0,NA,2,1,1700,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",2100,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205
"1629","LAURIE BERG",2000-12-07,"NYT",7,11,1962,7,9,1962,2,6207022,1,"INMATES OF DETENTION HOUSE STAGE NEW DEMONSTRATION",0,"INMATES OF WOMENS HOUSE OF DETENTION","INMATES WERE THROWING BURNING OBJECTS OUT 11TH STORY WINDOW, CROWD OF 100 GATHERED OUTSIDE BUILDING AS A RESULT AND BLOCKED TRAFFIC FOR 20 MINUTES","GREENWICH AVE. AND THE AVE. OF THE AMERICAS IN NYC","TARGETS UNCLEAR","PRISONERS RIGHTS","COLLECTIVE, CLAIMS MADE, PUBLIC",25,"1",4,1,"NY","","","",1,"NEW YORK","",1,"WOMENS HOUSE OF DETENTION",0,NA,2,1,500,1700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"","","","",1334,3,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,59,62,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"10041","ESTEBAN PROMIS -",NA,"NYT",5,9,1972,5,8,1972,1,7205023,1,"Governors Office Picketed",0,"300 students and faculty from NYU","marched","outside the Governor rockefeller's office at 22 West 55th ST","","","protesting the pending legislation calling for the sale of NYU's campus in the Bronx to the State University",45,"1",2,1,"NY","","","",1,"NEW YORK","",NA,"",1,300,NA,2,800,NA,100,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,22,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"20991","Lauren Wechsler",2001-08-19,"NYT",8,3,1990,NA,NA,1990,1,9008017,1,"AIDS Services to the Homeless to be Expanded",1,"Coalition for Homeless and ACLU","filed suit","NY, NY","city","to require individual housing for homeless with AIDS","COLLECTIVE, CLAIMS MADE, PUBLIC",6,"B",14,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"COALITION FOR THE HOMELESS","AMERICAN CIVIL LIBERTIES UNTION","","",1311,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409
"8718","JULIE BEDELL - S",NA,"NYT",7,27,1970,7,25,1970,NA,7007046,1,"Morningside Heights Squatters Hope Theyll Be Allowed to Sta",0,"200 squatters","moved into vacant buildings","in NYC","'to protest the eviction of residents of 6 apartment buildings in order to build a retirement home, and the inadequate relocation of those residents.  '","","This was a collective, disruptive, grass roots with a claim",57,"1",14,1,"NY","","","",1,"NEW YORK","",NA,"",1,200,NA,1,1500,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1318,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,60,62,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401
"8566","KAREN CALDWELL -",NA,"NYT",5,22,1970,5,20,1970,NA,7005174,1,"Guard is Called to Ohio State U",0,"100 college students","smashed windows","at Fresno State College","'in response to the adminstration's decision not to re-hire 8 of the 12 teachers in an ethnic studies program.  '","","This was a collective, unconventional activity with specific claims.",34,"1",14,1,"CA","","","",1,"FRESNO","",NA,"",1,100,NA,2,800,401,800,402,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,62,NA,NA,NA,1,3,0,0,NA,0,0,NA,NA,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"12206","BELINDA SICHULA",2002-06-06,"NYT",2,25,1976,2,24,1976,1,7602028,1,"STATE U. CUTS SPARK PROTEST IN ALBANY",0,"STUDENTS","DEMONSTRATION","ALBANY STATE UNIVERSITY","SCHOOL","PROTEST CUTS THAT WILL ELIMINATE 12 DEGREE PROGRAMS, INCLUDING THE NURSING PROGRAM","COLLECTIVE, CLAIMS MADE, PUBLIC",20,"1",3,1,"NY","","","",1,"ALBANY","",1,"ALBANY STATE UNIVERSITY",1,150,NA,1,800,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"1223","LEAH MILLER",2001-02-19,"NYT",7,10,1961,7,9,1961,1,6107018,1,"OAK PARK EFFORT FAILS",0,"50 WHITE & AFRICAN AMERICAN HIGH SCHOOL STUDENTS","TRIED TO INTEGRATE SWIMMING CLUB","OAK PARK, MI","SWIMMING CLUB","INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",21,"1",2,1,"MI","","","",1,"OAK PARK","",NA,"",1,80,NA,2,401,800,430,800,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1501,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,52,NA,NA,NA,0,NA,0,1,1,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"6178","MONICA LOPEX",NA,"NYT",10,11,1967,10,10,1967,5,6710010,5,"STATE AGREES TO A DELAY IN CITY COLLEGE BUILDING",0,"STUDENTS","BLOCKED CONSTRUCTION","CITY COLLEGE","AGAINST UNIVERSITY","TO STOP DESTRUCTION OF TREES","COLLECTIVE, CLAIMS MADE, PUBLIC",13,"1",4,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,800,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1106,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,57,NA,NA,NA,0,NA,0,0,NA,0,0,0,9,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709
"21949","BELINDA SICHULA",2002-07-01,"NYT",5,3,1992,5,1,1992,1,9205024,1,"DESPITE SCATTERED VIOLENCE, MOST PROTESTS ARE PEACEFUL",0,"RIOTERS","VANDALIZING AND LOOTING STORES","NYC, NY","POLICE","PROTEST RODNEY KING VERDICT","COLLECTIVE, CLAIMS MADE, PUBLIC",26,"1",23,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,4,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1518,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,62,61,NA,NA,1,1,0,1,1,0,0,0,121,NA,1,NA,1,0,"",NA,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"17380","WENDY",2001-12-18,"NYT",1,1,1984,12,28,1983,1,8401001,1,"U.S. TRUCK PLAN BRINGS SUIT",1,"PUBLIC SAFETY AND ENVIRONMENTAL ORGANIZATIONS","FILED A LAWSUIT","WASHINGTON D.C.","GOVERNMENT POLICY","TO PREVENT TRACTOR TRAILERS FROM USING MANY HIGHWAYS","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"L",5,1,"DC","","","",NA,"","",NA,"",0,NA,2,2,1800,NA,1800,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"CENTER FOR AUTO SAFETY","ENVIRONMENTAL POLICY INSTITUTE","","",1338,2,1100,1,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"9747","JENNY",NA,"NYT",11,30,1971,11,29,1971,NA,7111081,1,"Nursing Home Aid Faces US Cutoff",0,"30 representatives of Fight Back","picketed","outside the offices of the city's Housing and Development Administration","'in protest of a dismissal of an HDA employee and demanded to move the construction jobs for minorities.  '","","This was a collective, organized activity with claims made.",90,"1",13,1,"NY","","","",1,"UTICA","",NA,"",0,NA,2,1,1700,900,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",2900,1,1338,2,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204
"10378","KAREN MATUSKA -",NA,"NYT",11,16,1972,11,15,1972,1,7211018,1,"state abortion law critics take protest to governor",0,"Right to lifers'","demonstrated","outside Castle Restaurant","against current aboriton laws","","This was an unconventional, collective action that sought change.",51,"1",14,1,"NY","","","",1,"ORLEAN","",NA,"",1,75,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",2400,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,28,20,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"18111","STEPHANIE",2002-06-21,"NYT",4,22,1985,NA,NA,1976,1,8504080,1,"REBEL FLAG SETTING OFF CIVIL WARS",1,"BLACKS","LAWSUIT","ALABAMA","STATE","OPPOSE CONFEDERATE FLYING OVER CAPITAL","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",20,1,"AL","","","",NA,"","",NA,"",0,NA,2,1,1800,401,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1500,1,1519,1,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"1794","YVETTE GASIOREK",2001-03-06,"NYT",9,27,1962,9,26,1962,1,6209103,2,"8 FIRES SET IN NEGRO SUBURB OF ST. LOUIS AFTER SHOOTING",0,"ARSONISTS","SET EIGHT HOUSES ON FIRE","KINLOCH, A NEGRO COMMUNITY","AFRICAN AMERICANS","ANTI-BLACK HATE CRIME","ETHNIC / RACIAL VIOLENCE",26,"1",4,1,"MO","","","",1,"SAINT LOUIS","",1,"KINLOCH",0,NA,2,1,430,NA,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,62,NA,NA,NA,1,1,0,1,1,0,0,NA,NA,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"5529","SARA DEMARIO",NA,"NYT",12,22,1966,12,21,1966,1,6612033,2,"WORKERS WALK OFF JOB WHEN BUILDER BARS THEIR CROSS",0,"200 WORKERS","PROTESTED","CINCINNATTI, OH","HOSPITAL BUILDERS","BUILDERS BAR THEIR CROSS FROM BEING ON THE HOSPITAL","COLLECTIVE, CLAIMS MADE, PUBLIC",42,"1",10,1,"OH","","","",1,"CINCINNATI","",NA,"",1,200,NA,1,100,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1351,3,1400,3,NA,NA,NA,NA,1,NA,NA,NA,65,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100
"3456","MARVIN RUTH",2000-07-09,"NYT",10,10,1964,10,9,1964,2,6410005,2,"PARENTS PICKET GRACIE MANSION",0,"1000 PARENTS","PICKETED AND HELD A VIGIL","MAYOR'S HOUSE, NEW YORK CITY","MAYOR AND BOARD OF EDUCATION","PROTEST TRANSFER OF STUDENTS IN LIGHT OF NEW INTEGRATION POLICY","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",37,1,"NY","","","",1,"NEW YORK","",NA,"",1,1000,NA,2,500,430,600,430,NA,NA,1,2,3,1,NA,NA,1,3,"PARENTS AND TAXPAYERS OF JACKSON HEIGHTS","UNITED STATES NATIONALIST PARTY","YOUNG AMERICANS FOR FREEDOM","",1342,3,1501,3,NA,NA,NA,NA,4,3,NA,NA,20,28,59,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"19882","BELINDA SICHULA",2002-04-17,"NYT",8,7,1988,8,5,1988,1,8808009,1,"69 MORE OPPONENTS OF ABORTION JAILED IN ATLANTA PROTEST",0,"ANTI-ABORTION PROTESTERS","MARCH ON STATE CAPITOL","TALLAHASSEE, FL","GOVT","SEEKING CLEMENCY FOR ANTI-ABORTION COLLEAGUE","COLLECTIVE, CLAIMS MADE, PUBLIC",20,"1",12,1,"FL","","","",1,"TALLAHASSEE","",NA,"",1,300,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1334,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"20680","H. MACIAS",2002-01-02,"NYT",2,19,1990,1,NA,1990,1,9002027,1,"SECOND MAN IS HELD IN S.I. BIAS SLAYING OF A BEACH DWELLER",1,"TWO MEN","THEY KILLED A MAN WHOM THEY SUSPECTED OF BEING A HOMOSEXUAL","STATEN ISLAND, NY","A SUPPOSEDLY GAY MAN","AS A STATEMENT AGAINST HOMOSEXUALITY","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"B",8,1,"NY","","","",1,"NEW YORK","",1,"STATEN ISLAND",1,2,NA,1,1800,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",2525,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,55,NA,NA,NA,1,1,0,0,NA,0,0,0,2,NA,0,NA,0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,202
"10557","KAREN CALDWELL",NA,"NYT",1,31,1973,1,20,1973,NA,7301078,1,"RED DYE IS CALLED A PERIL TO BIRTHS",0,"Health Research Group of Washington","petitioned to the FDA to stop certifying the substance","Washington","Red Dye No. 2","","contend that it may represent a threat to human reproduction; studies cited where animals fed the dye suffered impaired reproduction and increased infant mortality",86,"1",9,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"HEALTH RESEARCH GROUP","","","",1326,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203
"4723","MONICA LOPEX",NA,"NYT",3,1,1966,3,NA,1963,19,6603002,1,"L.I. PARENTS OPEN STREET SCHOOLS FOR WHITE PUPILS",0,"BLACK & WHITE STUDENTS","HELD A BOYCOTT","AT MALVERNE SCHOOLS","AGAINST THE SCHOOLS","UNKNOWN","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",17,1,"LA","","","",1,"MALVERNE","",NA,"",0,NA,2,2,401,800,430,800,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"8023","NOAH",NA,"NYT",11,14,1969,11,11,1968,2,6911043,1,"NATIONWIDE PROTEST ON WAR (U OF PENN)",0,"200 U. of Penn students","end fast","University of Pennsylvannia","for peace","","this is a collective action because it involved more than one person and they remained silent but would issue a statement about their grievance",1,"A",26,1,"PA","","","",1,"PHILADELPHIA","",1,"UNIVERSITY OF PENNSYLVANIA",1,200,NA,1,800,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",700,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,11,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"18315","STEPHANIE",2001-08-24,"NYT",7,25,1985,7,24,1985,1,8507039,1,"URBAN LEAGUE HEARS DEBATE ON QUOTAS FOR BLACKS",0,"NATIONAL URBAN LEAGUE","DISCUSSION CONVENTION","WASHINGTON D.C","","DISCUSS VIEWS OF ORGANIZATION","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"A",16,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,4,1,1800,401,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,1,"NATIONAL URBAN LEAGUE","","","",1500,1,1506,3,NA,NA,NA,NA,9,NA,NA,NA,9,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"6637","NELLA",NA,"NYT",4,28,1968,4,17,1968,NA,6804169,1,"War Called Unjust By Student Leaders",0,"student leaders from across the country","signed a petition","0","against the vietnam war","","collective protest",73,"1",4,1,"NY","","","",1,"NEW YORK","",NA,"",1,500,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"CLERGY AND LAYMEN CONCERNED ABOUT VIETNAM","","","",711,1,723,1,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"5561","TRACI ANDES",NA,"NYT",1,14,1967,1,13,1967,1,6701068,1,"ANTI WAR BALLOONS GREAT COMMUTERS AT GRAND CENTRAL STATION",0,"YOUTH","RELEASED BALLOONS AND PLAYED RECORDING","GRAND CENTRAL STATION","GOVERNMENT","VOICE OPPOSITION TO WAR","collective, claims made, public",3,"1",9,1,"NY","","","",1,"NEW YORK","",1,"MANHATTEN",0,NA,1,1,700,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,58,33,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"3202","MONICA LOPEX",2000-08-15,"NYT",6,7,1964,6,6,1964,1,6406019,1,"500 TOLD HARLEM CAN HAVE REBIRTH",0,"CIVIL RIGHTS DEMONSTRATORS","HELD A PICKET","AT COLUMBIA UNIV.","MAYOR WAGNER","PROTESTING POOR LIVING CONDITIONS IN HARLEM","COLLECTIVE, CLAIMS MADE, PUBLIC",85,"1",16,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1331,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,58,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400
